"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,0.37,18,9,16,25,6
5,"null",10,10,0,0.4,7,11,26,15,7
10,"null",10,10,0,0.43,11,11,11,11,4
20,"null",10,10,0,0.4,16,3,18,14,0
1,"null",20,20,0,0.31,74,50,123,29,11
5,"null",20,20,0,0.51,83,69,151,35,13
10,"null",20,20,0,0.67,57,116,142,45,20
20,"null",20,20,0,0.52,78,99,129,59,27
1,"null",50,20,0,0.4,259,281,536,49,15
5,"null",50,20,0,0.54,282,245,484,48,9
10,"null",50,20,0,0.62,271,294,606,52,15
20,"null",50,20,0,0.64,259,279,531,30,11
1,"null",100,20,0,0.36,444,463,938,65,23
5,"null",100,20,0,0.56,553,537,1072,69,17
10,"null",100,20,0,0.62,486,531,1050,65,27
20,"null",100,20,0,0.65,448,461,914,52,21
1,"null",200,20,0,0.38,947,939,1919,133,34
5,"null",200,20,0,0.58,1008,1000,2022,160,51
10,"null",200,20,0,0.63,991,1014,1984,118,39
20,"null",200,20,0,0.63,1085,1084,2102,160,46
1,"winlo",10,10,0,0.5,15,8,21,44,4
5,"winlo",10,10,0,0.84,30,0,1,5,19
10,"winlo",10,10,0,0.89,56,0,0,8,0
20,"winlo",10,10,0,0.9,28,0,0,0,0
1,"winlo",20,20,0,0.63,209,92,74,108,26
5,"winlo",20,20,0,0.84,225,23,18,38,49
10,"winlo",20,20,0,0.89,130,18,0,0,0
20,"winlo",20,20,0,0.92,69,0,1,7,120
